Designator,Mid X,Mid Y,Rotation,Layer
H1,143.95,-57.2,0.0,top
H10,95.11,-86.5,0.0,top
H11,135.0,-86.5,0.0,top
H2,143.95,-83.0,0.0,top
H3,86.05,-83.0,0.0,top
H4,86.05,-57.2,0.0,top
H5,80.4,-50.93,0.0,top
H6,88.35,-111.15,0.0,top
H7,141.75,-111.15,0.0,top
H8,149.695,-50.930001,0.0,top
H9,115.05,-46.0,0.0,top
J1,85.5,-69.99,0.0,top
J2,93.81,-81.1,270.0,bottom
J3,90.11,-81.1,90.0,bottom
SW1,147.14,-98.25,270.0,top
SW2,127.14,-98.25,270.0,top
SW3,107.14,-98.25,270.0,top
SW4,87.14,-98.25,270.0,top
SW5,78.45,-82.65,270.0,top
U1,144.09425,-69.6991,90.0,bottom
